
======================================================================
Model: Llama-3-8B  |  Type: GQA  |  Backends: ['triton']
======================================================================

  [    triton] decode  bs=  64  kv_len= 2048 ... ==PROF== Connected to process 8057 (/usr/bin/python3.10)
median=610.111ms  BW=0.88 GB/s


================================================================================
SUMMARY
================================================================================
Llama-3-8B decode bs=64 len=2048
  triton: 610.111ms (0.88 GB/s)


GPU: NVIDIA H100 80GB HBM3
CUDA: 12.8
PyTorch: 2.9.1+cu128
FlashInfer: 0.6.6
==PROF== Disconnected from process 8057
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","%","75.86"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","216960"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum","sector","839213"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum","sector","17166803"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","launch__block_size","","128"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","launch__grid_size","","4096"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","launch__occupancy","","n/a"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","76"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read_lookup_hit.sum","sector","266411"
"2","8057","python3.10","127.0.0.1","_fwd_grouped_kernel_stage1","1","7","(128, 1, 1)","(64, 8, 8)","0","9.0","Command line profiler metrics","lts__t_sectors_op_read_lookup_miss.sum","sector","25403513"
